[24008:21264:0623/233701.767:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[24008:21516:0623/233701.964:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[24008:21264:0623/233702.005:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[8620:2360:0623/233741.468:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-69F2570263AFC18CC025AE979CCD653F will be ignored
[24008:6968:0624/002535.138:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=73})
[24008:6968:0624/002536.138:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=74})
[24008:6968:0624/002541.156:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=75})
[24008:6968:0624/002542.148:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=74})
[24008:6968:0624/002543.152:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=75})
[24008:6968:0624/002544.163:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=74})
[24008:6968:0624/002545.155:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=73})
[24008:6968:0624/002546.164:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=72})
[24008:6968:0624/002551.165:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=71})
[24008:6968:0624/002553.169:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=70})
[24008:6968:0624/002554.164:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=72})
[24008:6968:0624/002555.167:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=71})
[24008:6968:0624/002556.158:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=70})
[24008:6968:0624/002558.164:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=71})
[24008:6968:0624/002559.175:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=70})
[24008:6968:0624/002600.164:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=69})
[24008:6968:0624/002603.174:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=70})
[24008:6968:0624/002605.175:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=71})
[24008:6968:0624/002607.172:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=74})
[24008:6968:0624/002608.171:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=72})
[24008:6968:0624/002609.185:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=73})
[24008:6968:0624/002610.177:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=74})
[24008:6968:0624/002612.178:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=73})
[24008:6968:0624/002614.174:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=72})
